City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vao,-22.6667,167.4833,79.29,87,87,20.13,NC,1675543374
1,jamestown,42.097,-79.2353,26.02,28,48,7.0,US,1675543659
2,sonoita,31.85,-112.8333,70.9,19,0,3.65,MX,1675543590
3,grand-santi,4.25,-54.3833,73.92,98,94,5.48,GF,1675543660
4,itigi,-5.7,34.4833,61.41,95,96,0.45,TZ,1675543661
5,avarua,-21.2078,-159.775,82.45,78,40,13.8,CK,1675543661
6,souillac,-20.5167,57.5167,79.18,83,40,5.75,MU,1675543477
7,calama,-22.4667,-68.9333,73.89,33,20,24.16,CL,1675543662
8,severo-kurilsk,50.6789,156.125,25.95,73,100,6.22,RU,1675543663
9,pevek,69.7008,170.3133,-35.66,100,91,1.41,RU,1675543663
10,puerto ayora,-0.7393,-90.3518,85.96,87,40,10.0,EC,1675543664
11,hilo,19.7297,-155.09,74.25,97,100,3.0,US,1675543664
12,half moon bay,37.4636,-122.4286,63.05,92,100,13.8,US,1675543403
13,abeche,13.8292,20.8324,75.56,12,100,7.67,TD,1675543665
14,busselton,-33.65,115.3333,72.55,45,80,8.05,AU,1675543665
15,huilong,31.8111,121.655,37.92,80,100,7.09,CN,1675543666
16,sainte-marie,-20.8968,55.5496,78.96,87,94,13.8,RE,1675543666
17,mataura,-46.1927,168.8643,71.78,71,100,4.34,NZ,1675543667
18,longyearbyen,78.2186,15.6401,12.04,79,0,13.8,SJ,1675543667
19,hermanus,-34.4187,19.2345,66.79,93,24,7.18,ZA,1675543668
20,kavieng,-2.5744,150.7967,81.7,73,97,4.92,PG,1675543668
21,ewa beach,21.3156,-158.0072,71.6,91,100,10.36,US,1675543504
22,thompson,55.7435,-97.8558,-3.84,71,75,2.3,CA,1675543669
23,haines junction,60.7522,-137.5108,12.15,79,100,3.44,CA,1675543478
24,atuona,-9.8,-139.0333,78.78,75,37,19.28,PF,1675543670
25,kunashak,55.7032,61.5498,0.12,65,42,4.41,RU,1675543670
26,chokurdakh,70.6333,147.9167,-26.34,98,67,7.81,RU,1675543671
27,carnarvon,-24.8667,113.6333,78.24,71,1,4.38,AU,1675543671
28,tezu,27.9167,96.1667,60.44,28,21,4.25,IN,1675543672
29,hobart,-42.8794,147.3294,57.25,70,20,8.05,AU,1675543376
30,nizwa,22.9333,57.5333,69.85,57,0,2.37,OM,1675543672
31,san jose,37.3394,-121.895,65.14,72,75,18.41,US,1675543250
32,kapaa,22.0752,-159.319,71.1,93,100,3.0,US,1675543673
33,ushuaia,-54.8,-68.3,53.26,58,75,9.22,AR,1675543674
34,san patricio,28.017,-97.5169,71.17,53,48,11.77,US,1675543488
35,husavik,66.0449,-17.3389,27.27,71,3,12.8,IS,1675543674
36,kysyl-syr,63.8986,122.7617,-25.8,98,100,4.47,RU,1675543675
37,olga,43.7444,135.2892,8.15,83,100,4.14,RU,1675543675
38,fortuna,40.5982,-124.1573,61.99,58,0,28.77,US,1675543431
39,colares,38.7992,-9.4469,56.75,62,0,15.01,PT,1675543676
